id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb
1,BZ,702,BLUE BIRD AIRWAYS,2026-07-06T09:00:00,2026-07-06T09:47:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,41-55,B,DEPARTED,המריאה
2,LY,5462,EL AL ISRAEL AIRLINES,2026-07-06T09:45:00,2026-07-06T09:49:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,LANDED,נחתה
3,BT,6675,AIR BALTIC,2026-07-06T09:05:00,2026-07-06T09:50:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
4,LY,285,EL AL ISRAEL AIRLINES,2026-07-06T09:05:00,2026-07-06T09:50:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
5,IZ,802,ARKIA  ISRAELI  AIRLINES,2026-07-06T08:50:00,2026-07-06T09:52:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,LANDED,נחתה
6,6H,881,ISRAIR AIRLINES,2026-07-06T09:00:00,2026-07-06T09:57:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,1,305-309,A,DEPARTED,המריאה
7,6H,569,ISRAIR AIRLINES,2026-07-06T09:35:00,2026-07-06T09:58:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,201-214,G,DEPARTED,המריאה
8,W4,3258,WIZZ AIR MALTA,2026-07-06T09:20:00,2026-07-06T10:02:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,1,361-368,D,DEPARTED,המריאה
9,EK,2268,EMIRATES,2026-07-06T10:25:00,2026-07-06T10:03:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
10,FZ,1635,FLYDUBAI,2026-07-06T10:25:00,2026-07-06T10:03:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
11,CY,1462,CYPRUS AIRWAYS,2026-07-06T09:50:00,2026-07-06T10:05:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,224-226,G,DEPARTED,המריאה
12,W6,2097,WIZZAIR,2026-07-06T10:10:00,2026-07-06T10:05:00,A,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,3,,,LANDED,נחתה
13,AM,7899,AERO MEXICO,2026-07-06T09:40:00,2026-07-06T10:07:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
14,DL,7451,DELTA AIRLINES,2026-07-06T09:40:00,2026-07-06T10:07:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
15,LY,105,EL AL ISRAEL AIRLINES,2026-07-06T09:40:00,2026-07-06T10:07:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
16,LY,5132,EL AL ISRAEL AIRLINES,2026-07-06T09:50:00,2026-07-06T10:13:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
17,DL,7435,DELTA AIRLINES,2026-07-06T10:05:00,2026-07-06T10:16:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
18,LY,015,EL AL ISRAEL AIRLINES,2026-07-06T10:05:00,2026-07-06T10:16:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
19,AF,7069,AIR FRANCE,2026-07-06T10:00:00,2026-07-06T10:20:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
20,AM,7885,AERO MEXICO,2026-07-06T10:00:00,2026-07-06T10:20:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
21,LY,323,EL AL ISRAEL AIRLINES,2026-07-06T10:00:00,2026-07-06T10:20:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
22,SK,3163,SAS,2026-07-06T10:00:00,2026-07-06T10:20:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
23,IZ,804,ARKIA  ISRAELI  AIRLINES,2026-07-06T10:35:00,2026-07-06T10:22:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,LANDED,נחתה
24,6H,043,ISRAIR AIRLINES,2026-07-06T10:00:00,2026-07-06T10:29:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,355-360,C,DEPARTED,המריאה
25,W6,2502,WIZZAIR,2026-07-06T10:10:00,2026-07-06T10:33:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,1,361-368,D,DEPARTED,המריאה
26,EK,2121,EMIRATES,2026-07-06T10:15:00,2026-07-06T10:34:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-40,B,DEPARTED,המריאה
27,FZ,1074,FLYDUBAI,2026-07-06T10:15:00,2026-07-06T10:34:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-40,B,DEPARTED,המריאה
28,AM,7874,AERO MEXICO,2026-07-06T10:15:00,2026-07-06T10:38:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
29,DL,7430,DELTA AIRLINES,2026-07-06T10:15:00,2026-07-06T10:38:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
30,LY,007,EL AL ISRAEL AIRLINES,2026-07-06T10:15:00,2026-07-06T10:38:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
31,AM,7863,AERO MEXICO,2026-07-06T10:10:00,2026-07-06T10:40:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
32,DL,7434,DELTA AIRLINES,2026-07-06T10:10:00,2026-07-06T10:40:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
33,LY,315,EL AL ISRAEL AIRLINES,2026-07-06T10:10:00,2026-07-06T10:40:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
34,SK,3181,SAS,2026-07-06T10:10:00,2026-07-06T10:40:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
35,VS,7493,VIRGIN ATLANTIC AIRWAYS,2026-07-06T10:10:00,2026-07-06T10:40:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
36,AR,7850,AEROLINEAS ARGENTINAS S.A.,2026-07-06T10:40:00,2026-07-06T10:44:00,A,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
37,DL,7438,DELTA AIRLINES,2026-07-06T10:40:00,2026-07-06T10:44:00,A,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
38,LY,018,EL AL ISRAEL AIRLINES,2026-07-06T10:40:00,2026-07-06T10:44:00,A,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
39,W6,1559,WIZZAIR,2026-07-06T10:55:00,2026-07-06T10:49:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
40,IZ,1071,ARKIA  ISRAELI  AIRLINES,2026-07-06T08:00:00,2026-07-06T10:50:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,1,332-341,B,DEPARTED,המריאה
41,EY,593,ETIHAD AIRWAYS,2026-07-06T11:10:00,2026-07-06T10:52:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
42,LY,9600,EL AL ISRAEL AIRLINES,2026-07-06T11:10:00,2026-07-06T10:52:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
43,EK,2370,EMIRATES,2026-07-06T10:55:00,2026-07-06T11:01:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-40,B,DEPARTED,המריאה
44,FZ,1550,FLYDUBAI,2026-07-06T10:55:00,2026-07-06T11:01:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-40,B,DEPARTED,המריאה
45,6H,533,ISRAIR AIRLINES,2026-07-06T10:05:00,2026-07-06T11:03:00,D,CFU,CORFU,קורפו,CORFU,יוון,GREECE,1,305-309,A,DEPARTED,המריאה
46,IZ,807,ARKIA  ISRAELI  AIRLINES,2026-07-06T09:50:00,2026-07-06T11:08:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,349-354,C,DEPARTED,המריאה
47,LY,5114,EL AL ISRAEL AIRLINES,2026-07-06T10:50:00,2026-07-06T11:09:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
48,AM,7868,AERO MEXICO,2026-07-06T11:20:00,2026-07-06T11:13:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
49,DL,7425,DELTA AIRLINES,2026-07-06T11:20:00,2026-07-06T11:13:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
50,LY,002,EL AL ISRAEL AIRLINES,2026-07-06T11:20:00,2026-07-06T11:13:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
51,6H,729,ISRAIR AIRLINES,2026-07-06T07:45:00,2026-07-06T11:13:00,D,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,201-210,G,DEPARTED,המריאה
52,EY,607,ETIHAD AIRWAYS,2026-07-06T11:20:00,2026-07-06T11:17:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
53,LY,9614,EL AL ISRAEL AIRLINES,2026-07-06T11:20:00,2026-07-06T11:17:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
54,J2,021,AZERBAIJAN AIRLINES,2026-07-06T11:30:00,2026-07-06T11:18:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,LANDED,נחתה
55,LY,9950,EL AL ISRAEL AIRLINES,2026-07-06T11:30:00,2026-07-06T11:18:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,LANDED,נחתה
56,IZ,368,ARKIA  ISRAELI  AIRLINES,2026-07-06T11:15:00,2026-07-06T11:25:00,A,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,LANDED,נחתה
57,W4,6042,WIZZ AIR MALTA,2026-07-06T10:55:00,2026-07-06T11:29:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,1,361-368,D,DEPARTED,המריאה
58,W6,2098,WIZZAIR,2026-07-06T11:05:00,2026-07-06T11:32:00,D,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,1,361-368,D,DEPARTED,המריאה
59,IZ,166,ARKIA  ISRAELI  AIRLINES,2026-07-06T11:00:00,2026-07-06T11:35:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
60,EK,2363,EMIRATES,2026-07-06T12:20:00,2026-07-06T11:39:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
61,FZ,1211,FLYDUBAI,2026-07-06T12:20:00,2026-07-06T11:39:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
62,LY,5184,EL AL ISRAEL AIRLINES,2026-07-06T11:55:00,2026-07-06T11:43:00,A,TIA,TIRANA,טיראנה,TIRANA,אלבניה,ALBANIA,3,,,LANDED,נחתה
63,LY,5466,EL AL ISRAEL AIRLINES,2026-07-06T11:30:00,2026-07-06T11:46:00,A,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,LANDED,נחתה
64,HY,301,UZBEKISTAN AIR,2026-07-06T11:35:00,2026-07-06T11:49:00,A,TAS,TASHKENT,טשקנט,TASHKENT,אוזבקיסטן,UZBEKISTAN,3,,,LANDED,נחתה
65,EK,2269,EMIRATES,2026-07-06T11:40:00,2026-07-06T11:53:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-40,B,DEPARTED,המריאה
66,FZ,1636,FLYDUBAI,2026-07-06T11:40:00,2026-07-06T11:53:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-40,B,DEPARTED,המריאה
67,6H,596,ISRAIR AIRLINES,2026-07-06T11:50:00,2026-07-06T11:55:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,LANDED,נחתה
68,W6,1560,WIZZAIR,2026-07-06T11:50:00,2026-07-06T11:57:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,1,361-368,D,DEPARTED,המריאה
69,BZ,753,BLUE BIRD AIRWAYS,2026-07-06T12:00:00,2026-07-06T11:59:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,LANDED,נחתה
70,LIL,9142,FLY LILI,2026-07-06T10:45:00,2026-07-06T12:05:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
71,LY,5467,EL AL ISRAEL AIRLINES,2026-07-06T11:50:00,2026-07-06T12:08:00,D,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,78-99,D,DEPARTED,המריאה
72,U8,157,TUS AIRWAYS,2026-07-06T10:55:00,2026-07-06T12:12:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,LANDED,נחתה
73,IZ,142,ARKIA  ISRAELI  AIRLINES,2026-07-06T11:40:00,2026-07-06T12:17:00,A,AOK,KARPATHOS,קרפתוס,KARPATHOS,יוון,GREECE,3,,,LANDED,נחתה
74,U8,153,TUS AIRWAYS,2026-07-06T12:10:00,2026-07-06T12:20:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,LANDED,נחתה
75,LY,5246,EL AL ISRAEL AIRLINES,2026-07-06T12:10:00,2026-07-06T12:24:00,A,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,,,LANDED,נחתה
76,U8,108,TUS AIRWAYS,2026-07-06T12:05:00,2026-07-06T12:29:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
77,3E,101,ELECTRA AIRWAYS,2026-07-06T12:35:00,2026-07-06T12:33:00,A,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,,,LANDED,נחתה
78,IZ,741,ARKIA  ISRAELI  AIRLINES,2026-07-06T10:30:00,2026-07-06T12:34:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,G1-G4,G,DEPARTED,המריאה
79,A3,486,AEGEAN  AIRLINES,2026-07-06T12:10:00,2026-07-06T12:36:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,LANDED,נחתה
80,6H,044,ISRAIR AIRLINES,2026-07-06T12:40:00,2026-07-06T12:37:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,LANDED,נחתה
81,J2,022,AZERBAIJAN AIRLINES,2026-07-06T12:30:00,2026-07-06T12:39:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,29-33,A,DEPARTED,המריאה
82,LY,9951,EL AL ISRAEL AIRLINES,2026-07-06T12:30:00,2026-07-06T12:39:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,29-33,A,DEPARTED,המריאה
83,LY,5108,EL AL ISRAEL AIRLINES,2026-07-06T11:50:00,2026-07-06T12:40:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
84,BZ,887,BLUE BIRD AIRWAYS,2026-07-06T12:35:00,2026-07-06T12:43:00,A,JMK,MIKONOS,מיקונוס,MYKONOS,יוון,GREECE,3,,,LANDED,נחתה
85,IZ,414,ARKIA  ISRAELI  AIRLINES,2026-07-06T12:45:00,2026-07-06T12:45:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
86,IZ,996,ARKIA  ISRAELI  AIRLINES,2026-07-06T12:50:00,2026-07-06T12:47:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
87,LY,574,EL AL ISRAEL AIRLINES,2026-07-06T12:55:00,2026-07-06T12:50:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
88,RO,9103,TAROM - ROMANIAN AIR TRANSPORT,2026-07-06T12:55:00,2026-07-06T12:50:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
89,IZ,322,ARKIA  ISRAELI  AIRLINES,2026-07-06T13:25:00,2026-07-06T12:57:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,LANDED,נחתה
90,BT,6670,AIR BALTIC,2026-07-06T13:15:00,2026-07-06T13:00:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
91,LY,2366,EL AL ISRAEL AIRLINES,2026-07-06T13:15:00,2026-07-06T13:00:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
92,6H,336,ISRAIR AIRLINES,2026-07-06T13:00:00,2026-07-06T13:00:00,A,CTA,CATANIA  FONTANAROSSA,קטאניה,CATANIA,איטליה,ITALY,3,,,CANCELED,מבוטלת
93,AF,7073,AIR FRANCE,2026-07-06T12:40:00,2026-07-06T13:05:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
94,AM,7892,AERO MEXICO,2026-07-06T12:40:00,2026-07-06T13:05:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
95,LY,327,EL AL ISRAEL AIRLINES,2026-07-06T12:40:00,2026-07-06T13:05:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
96,SK,3159,SAS,2026-07-06T12:40:00,2026-07-06T13:05:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
97,IZ,808,ARKIA  ISRAELI  AIRLINES,2026-07-06T12:20:00,2026-07-06T13:08:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,LANDED,נחתה
98,A3,924,AEGEAN  AIRLINES,2026-07-06T12:50:00,2026-07-06T13:11:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
99,JU,7619,AIR SERBIA,2026-07-06T12:50:00,2026-07-06T13:11:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
100,IZ,513,ARKIA  ISRAELI  AIRLINES,2026-07-06T12:55:00,2026-07-06T13:13:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,1,332-340,B,DEPARTED,המריאה
101,LY,5111,EL AL ISRAEL AIRLINES,2026-07-06T12:55:00,2026-07-06T13:17:00,D,NAP,NAPLES-CAPODICHINO,נאפולי,NAPLES,איטליה,ITALY,1,316-325,A,DEPARTED,המריאה
102,LY,542,EL AL ISRAEL AIRLINES,2026-07-06T12:45:00,2026-07-06T13:17:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
103,IZ,025,ARKIA  ISRAELI  AIRLINES,2026-07-06T13:20:00,2026-07-06T13:20:00,D,RAK,MARRAKESH,מארקש,MARRAKESH,מרוקו,MOROCCO,3,,,CANCELED,מבוטלת
104,LY,5194,EL AL ISRAEL AIRLINES,2026-07-06T13:25:00,2026-07-06T13:23:00,A,SZG,SALZBURG,זלצבורג,SALZBURG,אוסטריה,AUSTRIA,3,,,LANDED,נחתה
105,IZ,212,ARKIA  ISRAELI  AIRLINES,2026-07-06T13:00:00,2026-07-06T13:25:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
106,BZ,691,BLUE BIRD AIRWAYS,2026-07-06T13:30:00,2026-07-06T13:28:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,LANDED,נחתה
107,6H,521,ISRAIR AIRLINES,2026-07-06T12:35:00,2026-07-06T13:28:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,201-204,G,DEPARTED,המריאה
108,AZ,806,ITALIA TRASPORTO AEREO,2026-07-06T13:30:00,2026-07-06T13:30:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
109,LY,552,EL AL ISRAEL AIRLINES,2026-07-06T13:30:00,2026-07-06T13:33:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,LANDED,נחתה
110,LY,5188,EL AL ISRAEL AIRLINES,2026-07-06T14:00:00,2026-07-06T13:35:00,A,DBV,DUBROVNIK,דוברובניק,DUBROVNIK,קרואטיה,CROATIA,3,,,LANDED,נחתה
111,IZ,911,ARKIA  ISRAELI  AIRLINES,2026-07-06T13:20:00,2026-07-06T13:36:00,D,STN,LONDON -STANSTED,לונדון,STANSTED,בריטניה,UNITED KINGDOM,3,G1-G9,G,DEPARTED,המריאה
112,IZ,815,ARKIA  ISRAELI  AIRLINES,2026-07-06T13:20:00,2026-07-06T13:41:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,349-354,C,DEPARTED,המריאה
113,A3,527,AEGEAN  AIRLINES,2026-07-06T13:05:00,2026-07-06T13:46:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,18-20,A,DEPARTED,המריאה
114,U8,105,TUS AIRWAYS,2026-07-06T13:05:00,2026-07-06T13:47:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,67-71,C,DEPARTED,המריאה
115,6H,576,ISRAIR AIRLINES,2026-07-06T11:45:00,2026-07-06T13:49:00,A,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,,,LANDED,נחתה
116,LY,5479,EL AL ISRAEL AIRLINES,2026-07-06T13:15:00,2026-07-06T13:50:00,D,JMK,MIKONOS,מיקונוס,MYKONOS,יוון,GREECE,3,78-99,D,DEPARTED,המריאה
117,AM,7874,AERO MEXICO,2026-07-06T13:50:00,2026-07-06T13:52:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
118,DL,7429,DELTA AIRLINES,2026-07-06T13:50:00,2026-07-06T13:52:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
119,EK,2364,EMIRATES,2026-07-06T13:35:00,2026-07-06T13:52:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-37,B,DEPARTED,המריאה
120,FZ,1212,FLYDUBAI,2026-07-06T13:35:00,2026-07-06T13:52:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-37,B,DEPARTED,המריאה
121,LY,006,EL AL ISRAEL AIRLINES,2026-07-06T13:50:00,2026-07-06T13:52:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
122,BZ,746,BLUE BIRD AIRWAYS,2026-07-06T13:55:00,2026-07-06T13:55:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,43-55,B,CANCELED,מבוטלת
123,HY,302,UZBEKISTAN AIR,2026-07-06T13:35:00,2026-07-06T13:55:00,D,TAS,TASHKENT,טשקנט,TASHKENT,אוזבקיסטן,UZBEKISTAN,3,12-16,A,DEPARTED,המריאה
124,CY,1463,CYPRUS AIRWAYS,2026-07-06T13:55:00,2026-07-06T13:58:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,LANDED,נחתה
125,IZ,122,ARKIA  ISRAELI  AIRLINES,2026-07-06T13:00:00,2026-07-06T14:00:00,A,JMK,MIKONOS,מיקונוס,MYKONOS,יוון,GREECE,3,,,LANDED,נחתה
126,BZ,801,BLUE BIRD AIRWAYS,2026-07-06T13:00:00,2026-07-06T14:02:00,A,KGS,KOS,קוס,KOS,יוון,GREECE,3,,,LANDED,נחתה
127,LIL,9137,FLY LILI,2026-07-06T12:25:00,2026-07-06T14:05:00,D,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,214-216,G,DEPARTED,המריאה
128,W9,5301,WIZZ UK,2026-07-06T14:35:00,2026-07-06T14:07:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
