id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb
2395,EY,608,ETIHAD AIRWAYS,2026-07-09T15:15:00,2026-07-09T15:15:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,ON TIME,בזמן
2396,LY,9615,EL AL ISRAEL AIRLINES,2026-07-09T15:15:00,2026-07-09T15:15:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,ON TIME,בזמן
2397,U8,106,TUS AIRWAYS,2026-07-09T15:15:00,2026-07-09T15:15:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
2398,LO,155,LOT POLISH AIRLINES,2026-07-09T15:20:00,2026-07-09T15:20:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
2399,LH,686,LUFTHANSA,2026-07-09T15:25:00,2026-07-09T15:25:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
2400,LY,281,EL AL ISRAEL AIRLINES,2026-07-09T15:25:00,2026-07-09T15:25:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,ON TIME,בזמן
2401,SK,3183,SAS,2026-07-09T15:25:00,2026-07-09T15:25:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,ON TIME,בזמן
2402,BT,6676,AIR BALTIC,2026-07-09T15:30:00,2026-07-09T15:30:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
2403,KL,2470,K.L.M.,2026-07-09T15:30:00,2026-07-09T15:30:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
2404,LY,238,EL AL ISRAEL AIRLINES,2026-07-09T15:30:00,2026-07-09T15:30:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
2405,W9,5302,WIZZ UK,2026-07-09T15:30:00,2026-07-09T15:30:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,ON TIME,בזמן
2406,6H,162,ISRAIR AIRLINES,2026-07-09T15:30:00,2026-07-09T15:30:00,A,TIA,TIRANA,טיראנה,TIRANA,אלבניה,ALBANIA,3,,,NOT FINAL,לא סופי
2407,AF,6174,AIR FRANCE,2026-07-09T15:35:00,2026-07-09T15:35:00,A,NCE,NICE,ניס,NICE,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
2408,ET,419,ETHIOPIAN AIRLINES,2026-07-09T15:35:00,2026-07-09T15:35:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,ON TIME,בזמן
2409,LY,224,EL AL ISRAEL AIRLINES,2026-07-09T15:35:00,2026-07-09T15:35:00,A,NCE,NICE,ניס,NICE,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
2410,LY,5488,EL AL ISRAEL AIRLINES,2026-07-09T15:35:00,2026-07-09T15:35:00,A,CAG,CAGLIARI-ELMAS,קליארי,CAGLIARI,איטליה,ITALY,3,,,NOT FINAL,לא סופי
2411,LY,8809,EL AL ISRAEL AIRLINES,2026-07-09T15:35:00,2026-07-09T15:35:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,ON TIME,בזמן
2412,6H,515,ISRAIR AIRLINES,2026-07-09T15:40:00,2026-07-09T15:40:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,1,,,ON TIME,בזמן
2413,6H,728,ISRAIR AIRLINES,2026-07-09T15:40:00,2026-07-09T15:40:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
