id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb,avg_flight_hours_estimate
2075,LY,343,EL AL ISRAEL AIRLINES,2026-07-14T16:40:00,2026-07-14T16:40:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3.0,78-99,D,ON TIME,בזמן,4.25
2076,LY,382,EL AL ISRAEL AIRLINES,2026-07-14T16:40:00,2026-07-14T16:40:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3.0,,,NOT FINAL,לא סופי,3.75
2077,SK,3162,SAS,2026-07-14T16:40:00,2026-07-14T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,NOT FINAL,לא סופי,4.5
2078,SK,3184,SAS,2026-07-14T16:40:00,2026-07-14T16:40:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3.0,,,NOT FINAL,לא סופי,3.75
2079,SK,3191,SAS,2026-07-14T16:40:00,2026-07-14T16:40:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3.0,78-99,D,ON TIME,בזמן,4.25
2080,6H,347,ISRAIR AIRLINES,2026-07-14T16:40:00,2026-07-14T16:40:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,,,ON TIME,בזמן,3.75
2081,6H,248,ISRAIR AIRLINES,2026-07-14T16:45:00,2026-07-14T16:45:00,A,SZG,SALZBURG,זלצבורג,SALZBURG,אוסטריה,AUSTRIA,3.0,,,NOT FINAL,לא סופי,3.5
2082,6H,884,ISRAIR AIRLINES,2026-07-14T16:45:00,2026-07-14T16:45:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3.0,,,NOT FINAL,לא סופי,2.75
2083,EY,597,ETIHAD AIRWAYS,2026-07-14T16:50:00,2026-07-14T16:50:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,NOT FINAL,לא סופי,3.25
2084,IZ,821,ARKIA  ISRAELI  AIRLINES,2026-07-14T16:50:00,2026-07-14T16:50:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,,,ON TIME,בזמן,1.0
2085,LY,9605,EL AL ISRAEL AIRLINES,2026-07-14T16:50:00,2026-07-14T16:50:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,NOT FINAL,לא סופי,3.25
