id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb,avg_flight_hours_estimate
1,A3,926,AEGEAN  AIRLINES,2026-07-11T19:00:00,2026-07-11T19:16:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,LANDED,נחתה,1.75
2,EK,4976,EMIRATES,2026-07-11T19:00:00,2026-07-11T19:16:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,LANDED,נחתה,1.75
3,JU,7620,AIR SERBIA,2026-07-11T19:00:00,2026-07-11T19:16:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,LANDED,נחתה,1.75
4,6H,569,ISRAIR AIRLINES,2026-07-11T18:45:00,2026-07-11T19:18:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,201-209,G,DEPARTED,המריאה,1.75
5,IZ,219A,ARKIA  ISRAELI  AIRLINES,2026-07-11T19:15:00,2026-07-11T19:21:00,A,TLV,TEL AVIV,נתבג,BEN GURION,ישראל,ISRAEL,3.0,,,LANDED,נחתה,1.0
6,EK,2451,EMIRATES,2026-07-11T19:25:00,2026-07-11T19:26:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-39,B,DEPARTED,המריאה,3.25
7,FZ,1626,FLYDUBAI,2026-07-11T19:25:00,2026-07-11T19:26:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-39,B,DEPARTED,המריאה,3.25
8,IZ,094,ARKIA  ISRAELI  AIRLINES,2026-07-11T18:55:00,2026-07-11T19:30:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3.0,,,LANDED,נחתה,1.75
9,6H,779,ISRAIR AIRLINES,2026-07-11T18:50:00,2026-07-11T19:47:00,D,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3.0,201-209,G,DEPARTED,המריאה,2.0
10,BZ,757,BLUE BIRD AIRWAYS,2026-07-11T19:00:00,2026-07-11T19:52:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3.0,,,LANDED,נחתה,1.75
11,U8,159,TUS AIRWAYS,2026-07-11T20:05:00,2026-07-11T20:03:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,1.0
12,IZ,414,ARKIA  ISRAELI  AIRLINES,2026-07-11T20:10:00,2026-07-11T20:14:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3.0,,,LANDED,נחתה,2.75
13,EY,598,ETIHAD AIRWAYS,2026-07-11T20:10:00,2026-07-11T20:15:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,12-17,A,DEPARTED,המריאה,3.25
14,LY,9607,EL AL ISRAEL AIRLINES,2026-07-11T20:10:00,2026-07-11T20:15:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,12-17,A,DEPARTED,המריאה,3.25
15,6H,508,ISRAIR AIRLINES,2026-07-11T20:45:00,2026-07-11T20:18:00,A,JTR,SANTORINI,סנטוריני,SANTORINI,יוון,GREECE,3.0,,,LANDED,נחתה,1.75
16,IZ,223,ARKIA  ISRAELI  AIRLINES,2026-07-11T19:55:00,2026-07-11T20:25:00,D,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,1.0,310-316,A,DEPARTED,המריאה,1.75
17,A3,927,AEGEAN  AIRLINES,2026-07-11T19:55:00,2026-07-11T20:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,19-22,A,DEPARTED,המריאה,1.75
18,EK,4978,EMIRATES,2026-07-11T19:55:00,2026-07-11T20:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,19-22,A,DEPARTED,המריאה,1.75
19,JU,7614,AIR SERBIA,2026-07-11T19:55:00,2026-07-11T20:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,19-22,A,DEPARTED,המריאה,1.75
20,W4,6404,WIZZ AIR MALTA,2026-07-11T18:55:00,2026-07-11T20:35:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,1.0,332-336,B,DEPARTED,המריאה,3.75
21,EK,2346,EMIRATES,2026-07-11T20:45:00,2026-07-11T20:43:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-39,B,DEPARTED,המריאה,3.25
22,FZ,1808,FLYDUBAI,2026-07-11T20:45:00,2026-07-11T20:43:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-39,B,DEPARTED,המריאה,3.25
23,6H,047,ISRAIR AIRLINES,2026-07-11T20:30:00,2026-07-11T20:46:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,355-360,C,DEPARTED,המריאה,1.0
24,6H,754,ISRAIR AIRLINES,2026-07-11T21:05:00,2026-07-11T21:01:00,A,LJU,LJUBLJANA,לובליאנה,LJUBLJANA,סלובניה,SLOVENIA,3.0,,,LANDED,נחתה,3.25
25,IZ,1805,ARKIA  ISRAELI  AIRLINES,2026-07-11T18:00:00,2026-07-11T21:02:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,349-354,C,DEPARTED,המריאה,1.0
26,IZ,219B,ARKIA  ISRAELI  AIRLINES,2026-07-11T23:30:00,2026-07-11T21:03:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,DEPARTED,המריאה,1.75
27,IZ,1161,ARKIA  ISRAELI  AIRLINES,2026-07-11T22:30:00,2026-07-11T21:05:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,1.0,310-316,A,DEPARTED,המריאה,1.0
28,EK,2167,EMIRATES,2026-07-11T21:40:00,2026-07-11T21:09:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,LANDED,נחתה,3.25
29,FZ,1053,FLYDUBAI,2026-07-11T21:40:00,2026-07-11T21:09:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,LANDED,נחתה,3.25
30,W4,6043,WIZZ AIR MALTA,2026-07-11T18:45:00,2026-07-11T21:18:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,,,LANDED,נחתה,3.75
31,BZ,701,BLUE BIRD AIRWAYS,2026-07-11T21:00:00,2026-07-11T21:43:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,LANDED,נחתה,1.75
32,6H,518,ISRAIR AIRLINES,2026-07-11T19:30:00,2026-07-11T22:16:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3.0,,,LANDED,נחתה,1.75
33,6H,585,ISRAIR AIRLINES,2026-07-11T21:00:00,2026-07-11T22:17:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,201-210,G,DEPARTED,המריאה,1.0
34,BZ,261,BLUE BIRD AIRWAYS,2026-07-11T22:40:00,2026-07-11T22:25:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3.0,,,LANDED,נחתה,4.25
35,6H,770,ISRAIR AIRLINES,2026-07-11T22:00:00,2026-07-11T22:27:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3.0,,,LANDED,נחתה,3.75
36,GQ,720,SKY EXPRESS S.A.,2026-07-11T22:30:00,2026-07-11T22:33:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,LANDED,נחתה,1.75
37,ET,414,ETHIOPIAN AIRLINES,2026-07-11T23:00:00,2026-07-11T22:36:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3.0,,,LANDED,נחתה,4.5
38,LY,8806,EL AL ISRAEL AIRLINES,2026-07-11T23:00:00,2026-07-11T22:36:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3.0,,,LANDED,נחתה,4.5
39,J2,331,AZERBAIJAN AIRLINES,2026-07-11T22:55:00,2026-07-11T22:45:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3.0,,,LANDED,נחתה,2.75
40,LY,9952,EL AL ISRAEL AIRLINES,2026-07-11T22:55:00,2026-07-11T22:45:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3.0,,,LANDED,נחתה,2.75
41,EY,599,ETIHAD AIRWAYS,2026-07-11T23:05:00,2026-07-11T22:47:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,LANDED,נחתה,3.25
42,LY,9611,EL AL ISRAEL AIRLINES,2026-07-11T23:05:00,2026-07-11T22:47:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,LANDED,נחתה,3.25
43,W4,6044,WIZZ AIR MALTA,2026-07-11T19:40:00,2026-07-11T22:48:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,1.0,332-336,B,DEPARTED,המריאה,3.75
44,IZ,054,ARKIA  ISRAELI  AIRLINES,2026-07-11T22:55:00,2026-07-11T22:49:00,A,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3.0,,,LANDED,נחתה,1.75
45,6H,048,ISRAIR AIRLINES,2026-07-11T23:15:00,2026-07-11T22:53:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,,,LANDED,נחתה,1.0
46,BZ,441,BLUE BIRD AIRWAYS,2026-07-11T23:20:00,2026-07-11T23:00:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3.0,,,LANDED,נחתה,3.0
47,EK,2168,EMIRATES,2026-07-11T22:50:00,2026-07-11T23:02:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-37,B,DEPARTED,המריאה,3.25
48,FZ,1054,FLYDUBAI,2026-07-11T22:50:00,2026-07-11T23:02:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-37,B,DEPARTED,המריאה,3.25
49,IZ,362,ARKIA  ISRAELI  AIRLINES,2026-07-11T20:35:00,2026-07-11T23:03:00,A,SJJ,SARAJEVO,סראייבו,SARAJEVO,בוסניה,BOSNIA,3.0,,,LANDED,נחתה,2.75
50,IZ,1806,ARKIA  ISRAELI  AIRLINES,2026-07-11T20:30:00,2026-07-11T23:06:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,,,LANDED,נחתה,1.0
51,LH,690,LUFTHANSA,2026-07-11T23:15:00,2026-07-11T23:17:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3.0,,,LANDED,נחתה,4.25
52,IZ,412,ARKIA  ISRAELI  AIRLINES,2026-07-11T22:50:00,2026-07-11T23:20:00,A,TIA,TIRANA,טיראנה,TIRANA,אלבניה,ALBANIA,3.0,,,LANDED,נחתה,2.0
53,IZ,1846,ARKIA  ISRAELI  AIRLINES,2026-07-11T22:50:00,2026-07-11T23:23:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,,,LANDED,נחתה,1.0
54,LY,9490,EL AL ISRAEL AIRLINES,2026-07-11T23:20:00,2026-07-11T23:25:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3.0,,,LANDED,נחתה,2.5
55,RO,155,TAROM - ROMANIAN AIR TRANSPORT,2026-07-11T23:20:00,2026-07-11T23:25:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3.0,,,LANDED,נחתה,2.5
56,GQ,721,SKY EXPRESS S.A.,2026-07-11T23:30:00,2026-07-11T23:40:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,20-23,A,DEPARTED,המריאה,1.75
57,IZ,912,ARKIA  ISRAELI  AIRLINES,2026-07-12T00:05:00,2026-07-11T23:44:00,A,STN,LONDON -STANSTED,לונדון,STANSTED,בריטניה,UNITED KINGDOM,3.0,,,LANDED,נחתה,5.0
58,LY,091,EL AL ISRAEL AIRLINES,2026-07-11T23:30:00,2026-07-11T23:45:00,D,NRT,TOKYO INTL.-NARITA,טוקיו,TOKYO,יפן,JAPAN,3.0,78-99,D,DEPARTED,המריאה,11.5
59,QF,5014,QANTAS AIRWAYS,2026-07-11T23:30:00,2026-07-11T23:45:00,D,NRT,TOKYO INTL.-NARITA,טוקיו,TOKYO,יפן,JAPAN,3.0,78-99,D,DEPARTED,המריאה,11.5
60,LY,081,EL AL ISRAEL AIRLINES,2026-07-11T23:30:00,2026-07-11T23:47:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,9.5
61,QF,5020,QANTAS AIRWAYS,2026-07-11T23:30:00,2026-07-11T23:47:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,9.5
62,TG,4584,THAI AIRWAYS,2026-07-11T23:30:00,2026-07-11T23:47:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,9.5
63,VN,3298,VIETNAM AIRLINES,2026-07-11T23:30:00,2026-07-11T23:47:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,9.5
64,6H,599,ISRAIR AIRLINES,2026-07-11T22:50:00,2026-07-11T23:51:00,D,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,201-205,G,DEPARTED,המריאה,1.0
65,6H,170,ISRAIR AIRLINES,2026-07-11T23:40:00,2026-07-11T23:52:00,A,TIA,TIRANA,טיראנה,TIRANA,אלבניה,ALBANIA,3.0,,,LANDED,נחתה,2.0
66,6H,888,ISRAIR AIRLINES,2026-07-11T23:30:00,2026-07-11T23:55:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3.0,,,LANDED,נחתה,2.75
67,BZ,611,BLUE BIRD AIRWAYS,2026-07-12T00:20:00,2026-07-11T23:59:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3.0,,,LANDED,נחתה,4.75
68,J2,332,AZERBAIJAN AIRLINES,2026-07-11T23:55:00,2026-07-12T00:07:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3.0,38-42,B,DEPARTED,המריאה,2.75
69,LY,9953,EL AL ISRAEL AIRLINES,2026-07-11T23:55:00,2026-07-12T00:07:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3.0,38-42,B,DEPARTED,המריאה,2.75
70,BZ,761,BLUE BIRD AIRWAYS,2026-07-11T23:50:00,2026-07-12T00:12:00,A,CHQ,KHANIA-SOUDABAY,חאניה,KHANIA,יוון,GREECE,3.0,,,LANDED,נחתה,1.75
71,H7,457,HISKY,2026-07-11T22:40:00,2026-07-12T00:18:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדובה,MOLDOVA,3.0,,,LANDED,נחתה,2.25
72,6H,893,ISRAIR AIRLINES,2026-07-11T23:00:00,2026-07-12T00:19:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3.0,201-205,G,DEPARTED,המריאה,2.75
73,LY,085,EL AL ISRAEL AIRLINES,2026-07-12T00:05:00,2026-07-12T00:21:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,9.5
74,QF,5022,QANTAS AIRWAYS,2026-07-12T00:05:00,2026-07-12T00:21:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,9.5
75,TG,4588,THAI AIRWAYS,2026-07-12T00:05:00,2026-07-12T00:21:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,9.5
76,IZ,294,ARKIA  ISRAELI  AIRLINES,2026-07-12T00:55:00,2026-07-12T00:37:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3.0,,,LANDED,נחתה,3.0
77,AM,7895,AERO MEXICO,2026-07-12T00:05:00,2026-07-12T00:41:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,11.5
78,DL,7426,DELTA AIRLINES,2026-07-12T00:05:00,2026-07-12T00:41:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,11.5
79,LY,003,EL AL ISRAEL AIRLINES,2026-07-12T00:05:00,2026-07-12T00:41:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,11.5
80,6H,780,ISRAIR AIRLINES,2026-07-12T00:25:00,2026-07-12T00:43:00,A,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3.0,,,LANDED,נחתה,2.0
81,LY,9491,EL AL ISRAEL AIRLINES,2026-07-12T00:20:00,2026-07-12T00:46:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3.0,9-11,A,DEPARTED,המריאה,2.5
82,RO,156,TAROM - ROMANIAN AIR TRANSPORT,2026-07-12T00:20:00,2026-07-12T00:46:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3.0,9-11,A,DEPARTED,המריאה,2.5
83,BZ,317,BLUE BIRD AIRWAYS,2026-07-11T22:10:00,2026-07-12T00:47:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3.0,,,LANDED,נחתה,3.5
84,DL,7443,DELTA AIRLINES,2026-07-12T00:30:00,2026-07-12T00:49:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,11.5
85,LY,027,EL AL ISRAEL AIRLINES,2026-07-12T00:30:00,2026-07-12T00:49:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,11.5
86,LY,5138,EL AL ISRAEL AIRLINES,2026-07-12T01:05:00,2026-07-12T00:52:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,1.0
87,IZ,991,ARKIA  ISRAELI  AIRLINES,2026-07-12T00:05:00,2026-07-12T00:53:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,47-55,B,DEPARTED,המריאה,11.5
88,LY,5436,EL AL ISRAEL AIRLINES,2026-07-12T00:55:00,2026-07-12T00:57:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,1.0
89,LY,5134,EL AL ISRAEL AIRLINES,2026-07-12T00:45:00,2026-07-12T00:58:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,1.0
90,IZ,418,ARKIA  ISRAELI  AIRLINES,2026-07-12T00:35:00,2026-07-12T01:03:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3.0,,,LANDED,נחתה,2.75
91,6H,586,ISRAIR AIRLINES,2026-07-12T00:10:00,2026-07-12T01:06:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,1.0
92,EY,600,ETIHAD AIRWAYS,2026-07-12T00:55:00,2026-07-12T01:07:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,12-19,A,DEPARTED,המריאה,3.25
93,LY,9612,EL AL ISRAEL AIRLINES,2026-07-12T00:55:00,2026-07-12T01:07:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,12-19,A,DEPARTED,המריאה,3.25
94,LY,083,EL AL ISRAEL AIRLINES,2026-07-12T00:55:00,2026-07-12T01:11:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,9.5
95,QF,5018,QANTAS AIRWAYS,2026-07-12T00:55:00,2026-07-12T01:11:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,9.5
96,TG,4586,THAI AIRWAYS,2026-07-12T00:55:00,2026-07-12T01:11:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,9.5
97,U8,157,TUS AIRWAYS,2026-07-12T00:55:00,2026-07-12T01:11:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,1.0
98,VN,3294,VIETNAM AIRLINES,2026-07-12T00:55:00,2026-07-12T01:11:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,9.5
99,LH,691,LUFTHANSA,2026-07-12T00:55:00,2026-07-12T01:13:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,28-33,A,DEPARTED,המריאה,1.75
100,DL,7435,DELTA AIRLINES,2026-07-12T01:05:00,2026-07-12T01:16:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,11.5
101,LY,015,EL AL ISRAEL AIRLINES,2026-07-12T01:05:00,2026-07-12T01:16:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,11.5
102,ET,405,ETHIOPIAN AIRLINES,2026-07-12T01:00:00,2026-07-12T01:20:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3.0,2-6,A,DEPARTED,המריאה,4.5
103,LY,8807,EL AL ISRAEL AIRLINES,2026-07-12T01:00:00,2026-07-12T01:20:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3.0,2-6,A,DEPARTED,המריאה,4.5
104,A3,458,AEGEAN  AIRLINES,2026-07-12T01:50:00,2026-07-12T01:26:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3.0,,,LANDED,נחתה,1.75
105,AM,7875,AERO MEXICO,2026-07-12T01:05:00,2026-07-12T01:27:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,11.5
106,DL,7428,DELTA AIRLINES,2026-07-12T01:05:00,2026-07-12T01:27:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,11.5
107,LY,005,EL AL ISRAEL AIRLINES,2026-07-12T01:05:00,2026-07-12T01:27:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,11.5
108,AM,7869,AERO MEXICO,2026-07-12T01:00:00,2026-07-12T01:36:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,11.5
109,DL,7424,DELTA AIRLINES,2026-07-12T01:00:00,2026-07-12T01:36:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,11.5
110,LY,001,EL AL ISRAEL AIRLINES,2026-07-12T01:00:00,2026-07-12T01:36:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,11.5
111,DL,7441,DELTA AIRLINES,2026-07-12T01:00:00,2026-07-12T01:38:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,11.5
112,LY,025,EL AL ISRAEL AIRLINES,2026-07-12T01:00:00,2026-07-12T01:38:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,11.5
113,IZ,1224,ARKIA  ISRAELI  AIRLINES,2026-07-12T02:00:00,2026-07-12T01:43:00,A,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3.0,,,LANDED,נחתה,1.75
114,H7,458,HISKY,2026-07-11T23:40:00,2026-07-12T01:44:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדובה,MOLDOVA,3.0,24-27,A,DEPARTED,המריאה,2.25
115,IZ,1162,ARKIA  ISRAELI  AIRLINES,2026-07-12T02:00:00,2026-07-12T01:48:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,1.0
116,LY,5440,EL AL ISRAEL AIRLINES,2026-07-12T01:50:00,2026-07-12T01:49:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,1.0
117,IZ,350,ARKIA  ISRAELI  AIRLINES,2026-07-11T23:55:00,2026-07-12T01:51:00,A,PSA,PISA,פיזה,PISA,איטליה,ITALY,3.0,,,LANDED,נחתה,3.75
118,IZ,220,ARKIA  ISRAELI  AIRLINES,2026-07-11T23:50:00,2026-07-12T01:56:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,LANDED,נחתה,1.75
119,6H,724,ISRAIR AIRLINES,2026-07-12T02:10:00,2026-07-12T01:56:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3.0,,,LANDED,נחתה,3.0
120,U8,461,TUS AIRWAYS,2026-07-12T02:50:00,2026-07-12T01:59:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3.0,,,LANDED,נחתה,3.75
