id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb,flight_duration_minutes,flight_duration_days
1,U8,159,TUS AIRWAYS,2026-07-11T20:05:00,2026-07-11T20:03:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,-2.0,-0.001
2,IZ,414,ARKIA  ISRAELI  AIRLINES,2026-07-11T20:10:00,2026-07-11T20:14:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3.0,,,LANDED,נחתה,4.0,0.003
3,EY,598,ETIHAD AIRWAYS,2026-07-11T20:10:00,2026-07-11T20:15:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,12-17,A,DEPARTED,המריאה,5.0,0.003
4,LY,9607,EL AL ISRAEL AIRLINES,2026-07-11T20:10:00,2026-07-11T20:15:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,12-17,A,DEPARTED,המריאה,5.0,0.003
5,6H,508,ISRAIR AIRLINES,2026-07-11T20:45:00,2026-07-11T20:18:00,A,JTR,SANTORINI,סנטוריני,SANTORINI,יוון,GREECE,3.0,,,LANDED,נחתה,-27.0,-0.019
6,IZ,223,ARKIA  ISRAELI  AIRLINES,2026-07-11T19:55:00,2026-07-11T20:25:00,D,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,1.0,310-316,A,DEPARTED,המריאה,30.0,0.021
7,A3,927,AEGEAN  AIRLINES,2026-07-11T19:55:00,2026-07-11T20:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,19-22,A,DEPARTED,המריאה,37.0,0.026
8,EK,4978,EMIRATES,2026-07-11T19:55:00,2026-07-11T20:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,19-22,A,DEPARTED,המריאה,37.0,0.026
9,JU,7614,AIR SERBIA,2026-07-11T19:55:00,2026-07-11T20:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,19-22,A,DEPARTED,המריאה,37.0,0.026
10,W4,6404,WIZZ AIR MALTA,2026-07-11T18:55:00,2026-07-11T20:35:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,1.0,332-336,B,DEPARTED,המריאה,100.0,0.069
11,EK,2346,EMIRATES,2026-07-11T20:45:00,2026-07-11T20:43:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-39,B,DEPARTED,המריאה,-2.0,-0.001
12,FZ,1808,FLYDUBAI,2026-07-11T20:45:00,2026-07-11T20:43:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-39,B,DEPARTED,המריאה,-2.0,-0.001
13,6H,047,ISRAIR AIRLINES,2026-07-11T20:30:00,2026-07-11T20:46:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,355-360,C,DEPARTED,המריאה,16.0,0.011
14,6H,754,ISRAIR AIRLINES,2026-07-11T21:05:00,2026-07-11T21:01:00,A,LJU,LJUBLJANA,לובליאנה,LJUBLJANA,סלובניה,SLOVENIA,3.0,,,LANDED,נחתה,-4.0,-0.003
15,IZ,1805,ARKIA  ISRAELI  AIRLINES,2026-07-11T18:00:00,2026-07-11T21:02:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,349-354,C,DEPARTED,המריאה,182.0,0.126
16,IZ,219B,ARKIA  ISRAELI  AIRLINES,2026-07-11T23:30:00,2026-07-11T21:03:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,DEPARTED,המריאה,-147.0,-0.102
17,IZ,1161,ARKIA  ISRAELI  AIRLINES,2026-07-11T22:30:00,2026-07-11T21:05:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,1.0,310-316,A,DEPARTED,המריאה,-85.0,-0.059
18,EK,2167,EMIRATES,2026-07-11T21:40:00,2026-07-11T21:09:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,LANDED,נחתה,-31.0,-0.022
19,FZ,1053,FLYDUBAI,2026-07-11T21:40:00,2026-07-11T21:09:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,LANDED,נחתה,-31.0,-0.022
20,W4,6043,WIZZ AIR MALTA,2026-07-11T18:45:00,2026-07-11T21:18:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,,,LANDED,נחתה,153.0,0.106
21,BZ,701,BLUE BIRD AIRWAYS,2026-07-11T21:00:00,2026-07-11T21:43:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,LANDED,נחתה,43.0,0.03
22,6H,518,ISRAIR AIRLINES,2026-07-11T19:30:00,2026-07-11T22:16:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3.0,,,LANDED,נחתה,166.0,0.115
23,6H,585,ISRAIR AIRLINES,2026-07-11T21:00:00,2026-07-11T22:17:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,201-210,G,DEPARTED,המריאה,77.0,0.053
24,BZ,261,BLUE BIRD AIRWAYS,2026-07-11T22:40:00,2026-07-11T22:25:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3.0,,,LANDED,נחתה,-15.0,-0.01
25,6H,770,ISRAIR AIRLINES,2026-07-11T22:00:00,2026-07-11T22:27:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3.0,,,LANDED,נחתה,27.0,0.019
26,GQ,720,SKY EXPRESS S.A.,2026-07-11T22:30:00,2026-07-11T22:33:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,LANDED,נחתה,3.0,0.002
27,ET,414,ETHIOPIAN AIRLINES,2026-07-11T23:00:00,2026-07-11T22:36:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3.0,,,LANDED,נחתה,-24.0,-0.017
28,LY,8806,EL AL ISRAEL AIRLINES,2026-07-11T23:00:00,2026-07-11T22:36:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3.0,,,LANDED,נחתה,-24.0,-0.017
29,J2,331,AZERBAIJAN AIRLINES,2026-07-11T22:55:00,2026-07-11T22:45:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3.0,,,LANDED,נחתה,-10.0,-0.007
30,LY,9952,EL AL ISRAEL AIRLINES,2026-07-11T22:55:00,2026-07-11T22:45:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3.0,,,LANDED,נחתה,-10.0,-0.007
31,EY,599,ETIHAD AIRWAYS,2026-07-11T23:05:00,2026-07-11T22:47:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,LANDED,נחתה,-18.0,-0.013
32,LY,9611,EL AL ISRAEL AIRLINES,2026-07-11T23:05:00,2026-07-11T22:47:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,LANDED,נחתה,-18.0,-0.013
33,W4,6044,WIZZ AIR MALTA,2026-07-11T19:40:00,2026-07-11T22:48:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,1.0,332-336,B,DEPARTED,המריאה,188.0,0.131
34,IZ,054,ARKIA  ISRAELI  AIRLINES,2026-07-11T22:55:00,2026-07-11T22:49:00,A,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3.0,,,LANDED,נחתה,-6.0,-0.004
35,6H,048,ISRAIR AIRLINES,2026-07-11T23:15:00,2026-07-11T22:53:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,,,LANDED,נחתה,-22.0,-0.015
36,BZ,441,BLUE BIRD AIRWAYS,2026-07-11T23:20:00,2026-07-11T23:00:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3.0,,,LANDED,נחתה,-20.0,-0.014
37,EK,2168,EMIRATES,2026-07-11T22:50:00,2026-07-11T23:02:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-37,B,DEPARTED,המריאה,12.0,0.008
38,FZ,1054,FLYDUBAI,2026-07-11T22:50:00,2026-07-11T23:02:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-37,B,DEPARTED,המריאה,12.0,0.008
39,IZ,362,ARKIA  ISRAELI  AIRLINES,2026-07-11T20:35:00,2026-07-11T23:03:00,A,SJJ,SARAJEVO,סראייבו,SARAJEVO,בוסניה,BOSNIA,3.0,,,LANDED,נחתה,148.0,0.103
40,IZ,1806,ARKIA  ISRAELI  AIRLINES,2026-07-11T20:30:00,2026-07-11T23:06:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,,,LANDED,נחתה,156.0,0.108
41,LH,690,LUFTHANSA,2026-07-11T23:15:00,2026-07-11T23:17:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3.0,,,LANDED,נחתה,2.0,0.001
42,IZ,412,ARKIA  ISRAELI  AIRLINES,2026-07-11T22:50:00,2026-07-11T23:20:00,A,TIA,TIRANA,טיראנה,TIRANA,אלבניה,ALBANIA,3.0,,,LANDED,נחתה,30.0,0.021
43,IZ,1846,ARKIA  ISRAELI  AIRLINES,2026-07-11T22:50:00,2026-07-11T23:23:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,,,LANDED,נחתה,33.0,0.023
44,LY,9490,EL AL ISRAEL AIRLINES,2026-07-11T23:20:00,2026-07-11T23:25:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3.0,,,LANDED,נחתה,5.0,0.003
45,RO,155,TAROM - ROMANIAN AIR TRANSPORT,2026-07-11T23:20:00,2026-07-11T23:25:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3.0,,,LANDED,נחתה,5.0,0.003
46,GQ,721,SKY EXPRESS S.A.,2026-07-11T23:30:00,2026-07-11T23:40:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,20-23,A,DEPARTED,המריאה,10.0,0.007
47,IZ,912,ARKIA  ISRAELI  AIRLINES,2026-07-12T00:05:00,2026-07-11T23:44:00,A,STN,LONDON -STANSTED,לונדון,STANSTED,בריטניה,UNITED KINGDOM,3.0,,,LANDED,נחתה,-21.0,-0.015
48,LY,091,EL AL ISRAEL AIRLINES,2026-07-11T23:30:00,2026-07-11T23:45:00,D,NRT,TOKYO INTL.-NARITA,טוקיו,TOKYO,יפן,JAPAN,3.0,78-99,D,DEPARTED,המריאה,15.0,0.01
49,QF,5014,QANTAS AIRWAYS,2026-07-11T23:30:00,2026-07-11T23:45:00,D,NRT,TOKYO INTL.-NARITA,טוקיו,TOKYO,יפן,JAPAN,3.0,78-99,D,DEPARTED,המריאה,15.0,0.01
50,LY,081,EL AL ISRAEL AIRLINES,2026-07-11T23:30:00,2026-07-11T23:47:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,17.0,0.012
51,QF,5020,QANTAS AIRWAYS,2026-07-11T23:30:00,2026-07-11T23:47:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,17.0,0.012
52,TG,4584,THAI AIRWAYS,2026-07-11T23:30:00,2026-07-11T23:47:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,17.0,0.012
53,VN,3298,VIETNAM AIRLINES,2026-07-11T23:30:00,2026-07-11T23:47:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,17.0,0.012
54,6H,599,ISRAIR AIRLINES,2026-07-11T22:50:00,2026-07-11T23:51:00,D,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,201-205,G,DEPARTED,המריאה,61.0,0.042
55,6H,170,ISRAIR AIRLINES,2026-07-11T23:40:00,2026-07-11T23:52:00,A,TIA,TIRANA,טיראנה,TIRANA,אלבניה,ALBANIA,3.0,,,LANDED,נחתה,12.0,0.008
56,6H,888,ISRAIR AIRLINES,2026-07-11T23:30:00,2026-07-11T23:55:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3.0,,,LANDED,נחתה,25.0,0.017
57,BZ,611,BLUE BIRD AIRWAYS,2026-07-12T00:20:00,2026-07-11T23:59:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3.0,,,LANDED,נחתה,-21.0,-0.015
58,J2,332,AZERBAIJAN AIRLINES,2026-07-11T23:55:00,2026-07-12T00:07:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3.0,38-42,B,DEPARTED,המריאה,12.0,0.008
59,LY,9953,EL AL ISRAEL AIRLINES,2026-07-11T23:55:00,2026-07-12T00:07:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3.0,38-42,B,DEPARTED,המריאה,12.0,0.008
60,BZ,761,BLUE BIRD AIRWAYS,2026-07-11T23:50:00,2026-07-12T00:12:00,A,CHQ,KHANIA-SOUDABAY,חאניה,KHANIA,יוון,GREECE,3.0,,,LANDED,נחתה,22.0,0.015
61,H7,457,HISKY,2026-07-11T22:40:00,2026-07-12T00:18:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדובה,MOLDOVA,3.0,,,LANDED,נחתה,98.0,0.068
62,6H,893,ISRAIR AIRLINES,2026-07-11T23:00:00,2026-07-12T00:19:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3.0,201-205,G,DEPARTED,המריאה,79.0,0.055
63,LY,085,EL AL ISRAEL AIRLINES,2026-07-12T00:05:00,2026-07-12T00:21:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,16.0,0.011
64,QF,5022,QANTAS AIRWAYS,2026-07-12T00:05:00,2026-07-12T00:21:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,16.0,0.011
65,TG,4588,THAI AIRWAYS,2026-07-12T00:05:00,2026-07-12T00:21:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,16.0,0.011
66,IZ,294,ARKIA  ISRAELI  AIRLINES,2026-07-12T00:55:00,2026-07-12T00:37:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3.0,,,LANDED,נחתה,-18.0,-0.013
67,AM,7895,AERO MEXICO,2026-07-12T00:05:00,2026-07-12T00:41:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,36.0,0.025
68,DL,7426,DELTA AIRLINES,2026-07-12T00:05:00,2026-07-12T00:41:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,36.0,0.025
69,LY,003,EL AL ISRAEL AIRLINES,2026-07-12T00:05:00,2026-07-12T00:41:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,36.0,0.025
70,6H,780,ISRAIR AIRLINES,2026-07-12T00:25:00,2026-07-12T00:43:00,A,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3.0,,,LANDED,נחתה,18.0,0.013
71,LY,9491,EL AL ISRAEL AIRLINES,2026-07-12T00:20:00,2026-07-12T00:46:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3.0,9-11,A,DEPARTED,המריאה,26.0,0.018
72,RO,156,TAROM - ROMANIAN AIR TRANSPORT,2026-07-12T00:20:00,2026-07-12T00:46:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3.0,9-11,A,DEPARTED,המריאה,26.0,0.018
73,BZ,317,BLUE BIRD AIRWAYS,2026-07-11T22:10:00,2026-07-12T00:47:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3.0,,,LANDED,נחתה,157.0,0.109
74,DL,7443,DELTA AIRLINES,2026-07-12T00:30:00,2026-07-12T00:49:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,19.0,0.013
75,LY,027,EL AL ISRAEL AIRLINES,2026-07-12T00:30:00,2026-07-12T00:49:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,19.0,0.013
76,LY,5138,EL AL ISRAEL AIRLINES,2026-07-12T01:05:00,2026-07-12T00:52:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,-13.0,-0.009
77,IZ,991,ARKIA  ISRAELI  AIRLINES,2026-07-12T00:05:00,2026-07-12T00:53:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,47-55,B,DEPARTED,המריאה,48.0,0.033
78,LY,5436,EL AL ISRAEL AIRLINES,2026-07-12T00:55:00,2026-07-12T00:57:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,2.0,0.001
79,LY,5134,EL AL ISRAEL AIRLINES,2026-07-12T00:45:00,2026-07-12T00:58:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,13.0,0.009
80,IZ,418,ARKIA  ISRAELI  AIRLINES,2026-07-12T00:35:00,2026-07-12T01:03:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3.0,,,LANDED,נחתה,28.0,0.019
81,6H,586,ISRAIR AIRLINES,2026-07-12T00:10:00,2026-07-12T01:06:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,56.0,0.039
82,EY,600,ETIHAD AIRWAYS,2026-07-12T00:55:00,2026-07-12T01:07:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,12-19,A,DEPARTED,המריאה,12.0,0.008
83,LY,9612,EL AL ISRAEL AIRLINES,2026-07-12T00:55:00,2026-07-12T01:07:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,12-19,A,DEPARTED,המריאה,12.0,0.008
84,LY,083,EL AL ISRAEL AIRLINES,2026-07-12T00:55:00,2026-07-12T01:11:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,16.0,0.011
85,QF,5018,QANTAS AIRWAYS,2026-07-12T00:55:00,2026-07-12T01:11:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,16.0,0.011
86,TG,4586,THAI AIRWAYS,2026-07-12T00:55:00,2026-07-12T01:11:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,16.0,0.011
87,U8,157,TUS AIRWAYS,2026-07-12T00:55:00,2026-07-12T01:11:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,16.0,0.011
88,VN,3294,VIETNAM AIRLINES,2026-07-12T00:55:00,2026-07-12T01:11:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3.0,78-99,D,DEPARTED,המריאה,16.0,0.011
89,LH,691,LUFTHANSA,2026-07-12T00:55:00,2026-07-12T01:13:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,28-33,A,DEPARTED,המריאה,18.0,0.013
90,DL,7435,DELTA AIRLINES,2026-07-12T01:05:00,2026-07-12T01:16:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,11.0,0.008
91,LY,015,EL AL ISRAEL AIRLINES,2026-07-12T01:05:00,2026-07-12T01:16:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,11.0,0.008
92,ET,405,ETHIOPIAN AIRLINES,2026-07-12T01:00:00,2026-07-12T01:20:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3.0,2-6,A,DEPARTED,המריאה,20.0,0.014
93,LY,8807,EL AL ISRAEL AIRLINES,2026-07-12T01:00:00,2026-07-12T01:20:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3.0,2-6,A,DEPARTED,המריאה,20.0,0.014
94,A3,458,AEGEAN  AIRLINES,2026-07-12T01:50:00,2026-07-12T01:26:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3.0,,,LANDED,נחתה,-24.0,-0.017
95,AM,7875,AERO MEXICO,2026-07-12T01:05:00,2026-07-12T01:27:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,22.0,0.015
96,DL,7428,DELTA AIRLINES,2026-07-12T01:05:00,2026-07-12T01:27:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,22.0,0.015
97,LY,005,EL AL ISRAEL AIRLINES,2026-07-12T01:05:00,2026-07-12T01:27:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,22.0,0.015
98,AM,7869,AERO MEXICO,2026-07-12T01:00:00,2026-07-12T01:36:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,36.0,0.025
99,DL,7424,DELTA AIRLINES,2026-07-12T01:00:00,2026-07-12T01:36:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,36.0,0.025
100,LY,001,EL AL ISRAEL AIRLINES,2026-07-12T01:00:00,2026-07-12T01:36:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,36.0,0.025
101,DL,7441,DELTA AIRLINES,2026-07-12T01:00:00,2026-07-12T01:38:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,38.0,0.026
102,LY,025,EL AL ISRAEL AIRLINES,2026-07-12T01:00:00,2026-07-12T01:38:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3.0,78-99,D,DEPARTED,המריאה,38.0,0.026
103,IZ,1224,ARKIA  ISRAELI  AIRLINES,2026-07-12T02:00:00,2026-07-12T01:43:00,A,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3.0,,,LANDED,נחתה,-17.0,-0.012
104,H7,458,HISKY,2026-07-11T23:40:00,2026-07-12T01:44:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדובה,MOLDOVA,3.0,24-27,A,DEPARTED,המריאה,124.0,0.086
105,IZ,1162,ARKIA  ISRAELI  AIRLINES,2026-07-12T02:00:00,2026-07-12T01:48:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,-12.0,-0.008
106,LY,5440,EL AL ISRAEL AIRLINES,2026-07-12T01:50:00,2026-07-12T01:49:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,-1.0,-0.001
107,IZ,350,ARKIA  ISRAELI  AIRLINES,2026-07-11T23:55:00,2026-07-12T01:51:00,A,PSA,PISA,פיזה,PISA,איטליה,ITALY,3.0,,,LANDED,נחתה,116.0,0.081
108,IZ,220,ARKIA  ISRAELI  AIRLINES,2026-07-11T23:50:00,2026-07-12T01:56:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,LANDED,נחתה,126.0,0.087
109,6H,724,ISRAIR AIRLINES,2026-07-12T02:10:00,2026-07-12T01:56:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3.0,,,LANDED,נחתה,-14.0,-0.01
110,U8,461,TUS AIRWAYS,2026-07-12T02:50:00,2026-07-12T01:59:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3.0,,,LANDED,נחתה,-51.0,-0.035
111,LY,548,EL AL ISRAEL AIRLINES,2026-07-12T01:55:00,2026-07-12T02:12:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,LANDED,נחתה,17.0,0.012
112,FB,573,BULGARIA  AIR,2026-07-12T02:00:00,2026-07-12T02:15:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3.0,,,LANDED,נחתה,15.0,0.01
113,A3,528,AEGEAN  AIRLINES,2026-07-12T02:30:00,2026-07-12T02:20:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,-10.0,-0.007
114,IZ,276,ARKIA  ISRAELI  AIRLINES,2026-07-12T02:10:00,2026-07-12T02:21:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3.0,,,LANDED,נחתה,11.0,0.008
115,6H,510,ISRAIR AIRLINES,2026-07-12T02:30:00,2026-07-12T02:26:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,,,LANDED,נחתה,-4.0,-0.003
