id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb,flight_duration_minutes,flight_duration_days
813,LY,017,EL AL ISRAEL AIRLINES,2026-07-13T00:15:00,2026-07-13T00:15:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
814,LY,9493,EL AL ISRAEL AIRLINES,2026-07-13T00:20:00,2026-07-13T00:20:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3.0,56-58,C,ON TIME,בזמן,0.0,0.0
815,RO,2154,TAROM - ROMANIAN AIR TRANSPORT,2026-07-13T00:20:00,2026-07-13T00:20:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3.0,56-58,C,ON TIME,בזמן,0.0,0.0
816,BZ,271,BLUE BIRD AIRWAYS,2026-07-13T00:25:00,2026-07-13T00:25:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3.0,,,NOT FINAL,לא סופי,0.0,0.0
817,6H,582,ISRAIR AIRLINES,2026-07-13T00:25:00,2026-07-13T00:25:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,,,NOT FINAL,לא סופי,0.0,0.0
818,DL,7443,DELTA AIRLINES,2026-07-13T00:30:00,2026-07-13T00:30:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
819,LY,027,EL AL ISRAEL AIRLINES,2026-07-13T00:30:00,2026-07-13T00:30:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3.0,78-99,D,ON TIME,בזמן,0.0,0.0
820,BT,6682,AIR BALTIC,2026-07-13T00:40:00,2026-07-13T00:40:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3.0,,,NOT FINAL,לא סופי,0.0,0.0
821,BZ,563,BLUE BIRD AIRWAYS,2026-07-13T00:40:00,2026-07-13T00:40:00,A,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3.0,,,NOT FINAL,לא סופי,0.0,0.0
822,LY,282,EL AL ISRAEL AIRLINES,2026-07-13T00:40:00,2026-07-13T00:40:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3.0,,,NOT FINAL,לא סופי,0.0,0.0
823,SK,3164,SAS,2026-07-13T00:40:00,2026-07-13T00:40:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3.0,,,NOT FINAL,לא סופי,0.0,0.0
824,AF,7074,AIR FRANCE,2026-07-13T00:45:00,2026-07-13T00:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
825,AM,7890,AERO MEXICO,2026-07-13T00:45:00,2026-07-13T00:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
826,LY,328,EL AL ISRAEL AIRLINES,2026-07-13T00:45:00,2026-07-13T00:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
827,LY,5420,EL AL ISRAEL AIRLINES,2026-07-13T00:45:00,2026-07-13T00:45:00,A,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,3.0,,,NOT FINAL,לא סופי,0.0,0.0
828,IZ,272,ARKIA  ISRAELI  AIRLINES,2026-07-13T00:50:00,2026-07-13T00:50:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3.0,,,NOT FINAL,לא סופי,0.0,0.0
829,LY,352,EL AL ISRAEL AIRLINES,2026-07-13T00:50:00,2026-07-13T00:50:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3.0,,,NOT FINAL,לא סופי,0.0,0.0
830,LY,544,EL AL ISRAEL AIRLINES,2026-07-13T00:50:00,2026-07-13T00:50:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,NOT FINAL,לא סופי,0.0,0.0
831,LY,572,EL AL ISRAEL AIRLINES,2026-07-13T00:50:00,2026-07-13T00:50:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3.0,,,NOT FINAL,לא סופי,0.0,0.0
832,RO,9101,TAROM - ROMANIAN AIR TRANSPORT,2026-07-13T00:50:00,2026-07-13T00:50:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3.0,,,NOT FINAL,לא סופי,0.0,0.0
833,EY,600,ETIHAD AIRWAYS,2026-07-13T00:55:00,2026-07-13T00:55:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,12-17,A,ON TIME,בזמן,0.0,0.0
